Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
7560,242559,31-Mar-18,310318,5710
7561,3070236,31-Mar-18,310318,39195
7562,A3070236,31-Mar-18,310318,42070
7563,E3070236,31-Mar-18,310318,3588
7564,IIKOC7238612,31-Mar-18,310318,2498380
7565,30569,20-Mar-18,200318,80070
7566,47679,20-Mar-18,200318,6650
7567,33318,27-Mar-18,270318,13445
7568,33341,27-Mar-18,270318,43788
7569,30575,27-Mar-18,270318,66630
7570,47685,27-Mar-18,270318,6385
7571,33330,13-Mar-18,130318,39280
7572,33307,13-Mar-18,130318,18397
7573,30561,13-Mar-18,130318,73060
7574,47421,13-Mar-18,130318,3965
7575,82081,28-Mar-18,280318,1205
7576,98223,28-Mar-18,280318,950
7577,IKOC7238927,31-Mar-18,310318,840122
7578,87937,13-Mar-18,130318,13047
7579,100054,21-Mar-18,210318,108500
7580,100055,21-Mar-18,210318,84972
7581,27263,27-Apr-18,270418,50850
7582,100092,27-Apr-18,270418,123600
7583,71957,27-Apr-18,270418,49045
7584,71869,27-Apr-18,270418,3755
7585,98320,27-Apr-18,270418,3560
7586,85123,27-Apr-18,270418,117155
7587,620570,27-Apr-18,270418,1715
7588,54148,28-Mar-18,280318,5800
7589,54147,28-Mar-18,280318,8020
7590,100059,27-Mar-18,270318,89505
7591,35992,27-Mar-18,270318,35992
7592,55971,27-Mar-18,270318,3135
7593,100060,28-Mar-18,280318,116224
7594,100061,28-Mar-18,280318,96605
7595,100062,28-Mar-18,280318,80352
7596,25650,28-Mar-18,280318,25650
7597,35110,28-Mar-18,280318,35110
7598,43301,28-Mar-18,280318,43301
7599,55972,28-Mar-18,280318,10465
7600,91221,28-Mar-18,280318,10975
7601,707372,04-Apr-18,40418,389465
7602,331764,04-Apr-18,40418,100000
7603,608485,04-Apr-18,40418,1020
7604,608797,04-Apr-18,40418,1265
7605,608333,04-Apr-18,40418,785
7606,613834,04-Apr-18,40418,797230
7607,275739,04-Apr-18,40418,648347
7608,653699,04-Apr-18,40418,733432
7609,82792,04-Apr-18,40418,28665
7610,82790,04-Apr-18,40418,11175
7611,177123,16-Feb-18,160218,501076
7612,11432,22-Feb-18,220218,13442
7613,100052,20-Mar-18,200318,83465
