Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
1,DD945808,24-Oct-11,24101164,150
2,11306405893,09-Nov-11,911117298,17121
3,SDL665290,19-Jul-12,19071264,84388
4,N2011300120,30-Jun-11,NEFT1,300
5,AMENDED02/12,29-Feb-12,NEFT3,10400
6,AMENDED02,29-Feb-12,NEFT3,41912
7,259985,10-Apr-13,100413,259985
8,SD121168824,20-May-11,200511602,50000
9,252143,11-Aug-11,,5560
10,IGD4112395,15-Oct-12,151012105,315273
11,N2012300885,31-Mar-13,NEFT,-475816
12,N2012300887,31-Mar-13,NEFT,-1864921
13,N2012300892,31-Mar-13,NEFT,-36433892
14,IGD3905785,13-Oct-12,131012105,281420
15,IKO21151346,22-Oct-12,221012105,293046
16,IGD3921956,13-Oct-12,131012105,343989
17,IGD6554348,29-Oct-12,291012105,227250
18,IKO11098963549,09-Apr-11,9041164,379308
19,SD120165102,27-Apr-11,27041164,170920
20,11118484750,02-May-11,20511602,12726
21,SD119733999,18-Apr-11,180411602,232674
22,NEFT1,02-Jul-11,20711602,18457
23,NEFT2,02-Jul-11,20711602,150665
24,NEFT3,02-Jul-11,20711602,150290
25,N111266528,09-Jul-11,907117298,1638728
26,SD122567029,25-Jun-11,2506117298,60000
27,SD122567142,25-Jun-11,2506117298,60000
28,392961,22-Jun-11,22061164,1178158
29,392986,23-Jul-11,23071164,385293
30,IKO11207430074,28-Jul-11,28071164,18582
31,nh11328468305,29-Nov-11,2911117298,60000
32,DD868821,24-Oct-11,24101164,150
33,DD778203,24-Oct-11,24101164,150
34,DD108431,24-Oct-11,24101164,150
35,PIB112844629017,15-Oct-11,151011602,6138
36,DD219157,24-Oct-11,24101164,150
37,12077242668,22-Mar-12,220312602,18127
38,17916,02-Nov-11,21111602,17916
39,93,29-Apr-11,290411602,93
40,DD648831,24-Oct-11,24101164,150
41,563390,13-Sep-12,1309122625,40784
42,DD184350,24-Oct-11,24101164,150
43,DD519848,24-Oct-11,24101164,150
44,CP84708470617,21-Nov-11,2111117298,1407
45,IKO21515156,03-Nov-12,3111264,1514358
46,DD038591,04-Nov-11,4111164,150
47,IKO18932401,01-Aug-12,1081264,1345888
48,IBKL0000303,15-Apr-11,150411602,1625
49,IKO11099131790,13-Apr-11,13041164,50000
50,11365108596,05-Jan-12,501127298,25000
51,DD428716,24-Oct-11,24101164,150
52,DD403531,24-Oct-11,24101164,150
53,DD953045,24-Oct-11,24101164,150
54,DD278270,24-Oct-11,24101164,150
55,DD831765,03-Nov-11,3111164,150
56,4430,29-Nov-11,291111602,4430
57,35783,02-Nov-11,21111602,35783
58,DD678718,03-Nov-11,3111164,150
59,DD042881,24-Oct-11,24101164,150
60,DL1178588,04-Jan-13,40113105,1003
61,NEFT,28-Apr-13,280413,-15198667
62,N12171974142,30-Jun-12,NEFT2,-671766
63,41927,11-Dec-12,226219,41927
64,3582,24-Mar-13,3582,3582
65,N12034365667,31-Mar-12,NEFT3,-79253
66,N12090172452,31-Mar-12,NEFT4,-1833523
67,N2012300002,30-Apr-12,NEFT 1,-3440881
68,642310,06-Mar-13,60313105,11510
69,N11319617302,31-Jan-12,NEFT2,-167000
70,N11319634823,31-Jan-12,NEFT2,-17295
71,N2012300424,30-Sep-12,NEFT1,24724
72,N11319634826,31-Jan-12,NEFT2,-12695
73,DD929984,24-Oct-11,24101164,150
74,N2011300789,29-Feb-12,NEFT1,-10863391
75,n12091314761,31-Mar-12,NEFT5,-30000
76,N12083025718,31-Mar-12,NEFT6,-305725
77,YFFJKHGGK,31-Mar-12,NEFT2,-15050
78,41912,31-Mar-12,NEFT7,-41912
79,10400,31-Mar-12,NEFT8,-10400
80,N2012300073,31-May-12,NEFT1,-3328832
81,N12159231354,30-Jun-12,NEFT1,-12595265
82,N11319634827,31-Jan-12,NEFT2,-20946
83,N11309789287,31-Jan-12,NEFT2,-1092
84,N11309789289,31-Jan-12,NEFT2,-70262
85,N11309789290,31-Jan-12,NEFT2,-10442
86,N11294762033,31-Jan-12,NEFT2,-60000
87,N11333874797,31-Jan-12,NEFT2,-16348
88,N11328432174,31-Jan-12,NEFT2,-20648
89,N11328432176,31-Jan-12,NEFT2,-12905
90,N11330664040000,31-Jan-12,NEFT2,-25000
91,N11326195472,31-Jan-12,NEFT2,-2953
92,N11362454179,31-Jan-12,NEFT2,-1941780
93,N11356816908,31-Jan-12,NEFT2,-32263
94,N11363619329,31-Jan-12,NEFT2,-32364
95,N12006010869,31-Jan-12,NEFT2,-320056
96,N11365103945,31-Jan-12,NEFT2,-244159
97,N12006010868,31-Jan-12,NEFT2,-261946
98,N11207430065,31-Jan-12,NEFT2,-55519
99,N11218940957,31-Jan-12,NEFT2,-295606
100,N11218940955,31-Jan-12,NEFT2,-133499
101,N11218940954,31-Jan-12,NEFT2,-15409
102,N11218940635,31-Jan-12,NEFT2,-11394
103,N11342493554,31-Jan-12,NEFT2,-88200
104,N11202078080,31-Jan-12,NEFT2,-3015
105,N11222354931,31-Jan-12,NEFT2,-12294
106,N12006010866,31-Jan-12,NEFT2,-103123
107,N1202078079,31-Jan-12,NEFT2,-981
108,N12006010865,31-Jan-12,NEFT2,-19816
109,N11365103748,31-Jan-12,NEFT2,-50000
110,N1280406788,31-Jan-12,NEFT2,-245315
111,N11365103736,31-Jan-12,NEFT2,-39000
112,N11210788377,31-Jan-12,NEFT2,-80666
113,N11109824571,31-Jan-12,NEFT2,-13381
114,N11109824499,31-Jan-12,NEFT2,-13006
115,N11109824572,31-Jan-12,NEFT2,-12133
116,N11349212470,31-Jan-12,NEFT2,-60000
117,N11336864901,31-Jan-12,NEFT2,-38376
118,N11336864905,31-Jan-12,NEFT2,-1101837
119,N11336864904,31-Jan-12,NEFT2,-416714
120,N11336864903,31-Jan-12,NEFT2,-334802
121,N2011300888,31-Mar-12,NEFT9,-839756
122,N2011300574,31-Dec-11,NEFT2,10057
123,N2011300695,31-Jan-12,NEFT3,-4941
124,N2011300177,31-Jul-11,NEFT1,80000
125,N201130774,29-Feb-12,NEFT2,-21813
126,N11256962158,31-Jan-12,NEFT2,-394216
127,N11218940697,31-Jan-12,NEFT2,-100000
128,N11334201138,31-Jan-12,NEFT2,-27499
129,N12018109597,31-Jan-12,NEFT2,-125000
130,N12018109615,31-Jan-12,NEFT2,-50000
131,N12018109599,31-Jan-12,NEFT2,-126100
132,N12024656987,31-Jan-12,NEFT2,-30300
133,N11344711604,31-Jan-12,NEFT2,-8400
134,N11347924226,31-Jan-12,NEFT2,-70000
135,N11351383457,31-Jan-12,NEFT2,-75000
136,N11363544624,31-Jan-12,NEFT2,-57618
137,N11361299926,31-Jan-12,NEFT2,-426713
138,N11348017926,31-Jan-12,NEFT2,-37292
139,N1291486632,31-Jan-12,NEFT2,-8860
140,N11291486633,31-Jan-12,NEFT2,-4405
141,N11291486619,31-Jan-12,NEFT2,-6645
142,N11291486620,31-Jan-12,NEFT2,-2215
143,N120118119684,31-Jan-12,NEFT2,-10309
144,N1214817029,31-Jan-12,NEFT2,-145000
145,N11172596844,31-Jan-12,NEFT2,-2500
146,N11335568421,31-Jan-12,NEFT2,-24000
147,N12010364946,31-Jan-12,NEFT2,-213479
148,N11351403703,31-Jan-12,NEFT2,-50000
149,N11363537527,31-Jan-12,NEFT2,-26000
150,N11363537525,31-Jan-12,NEFT2,-60000
151,N12013704981,31-Jan-12,NEFT2,-101433
152,N11365108596,31-Jan-12,NEFT2,-25000
153,N12005832151,31-Jan-12,NEFT2,-50000
154,N12005832147,31-Jan-12,NEFT2,-650356
155,N12005832148,31-Jan-12,NEFT2,-710672
156,N12019254517,31-Jan-12,NEFT2,-35700
157,N11363538248,31-Jan-12,NEFT2,-2004
158,N11364750612,31-Jan-12,NEFT2,-30000
159,N11364750608,31-Jan-12,NEFT2,-58800
160,N12002406319,31-Jan-12,NEFT2,-787140
161,N12004712364,31-Jan-12,NEFT2,-1655555
162,N12004712363,31-Jan-12,NEFT2,-125555
163,N12007103033,31-Jan-12,NEFT2,-489
164,N12011457388,31-Jan-12,NEFT2,-60000
165,N12013702978,31-Jan-12,NEFT2,-7681
166,N12014833390,31-Jan-12,NEFT2,-1910
167,N12014833391,31-Jan-12,NEFT2,-1910
168,N12014833374,31-Jan-12,NEFT2,-1910
169,N11302691354,31-Jan-12,NEFT2,-36831
170,N11276440963,31-Jan-12,NEFT2,-341834
171,N11276440962,31-Jan-12,NEFT2,-207172
172,N11276440964,31-Jan-12,NEFT2,-269812
173,N11276440961,31-Jan-12,NEFT2,-21390
174,N11276441682,31-Jan-12,NEFT2,-73086
175,N11276441683,31-Jan-12,NEFT2,-6305
176,N11276441686,31-Jan-12,NEFT2,-79183
177,N11276441667,31-Jan-12,NEFT2,-6645
178,N284462901709,31-Jan-12,NEFT2,-6138
179,84469,23-Feb-12,2302122854,84469
180,N4430,31-Jan-12,NEFT2,-4430
181,N24724,31-Jan-12,NEFT2,-24724
182,N900,31-Jan-12,NEFT2,-900
183,N12060401848,31-Mar-12,NEFT1,-4976336
184,252144,26-Jul-11,,1212516
185,60360,27-Aug-11,27081164,60360
186,SD122564105,23-Jun-11,230611602,60000
187,12055616929,28-Feb-12,2802127298,3165
188,427,25-Mar-11,250311105,427
189,N2012300817,28-Feb-13,NEFT,-4223066
190,686674,27-Dec-12,271212105,6000
191,686677,27-Dec-12,271212105,1000
192,686678,27-Dec-12,271212105,2000
193,686679,27-Dec-12,271212105,2000
194,nh13012537210,18-Jan-13,1801137298,280
195,686656,01-Dec-12,11212105,4000
196,686653,01-Dec-12,11212105,2000
197,686655,01-Dec-12,11212105,2000
198,686676,27-Dec-12,271212105,13593
199,686654,01-Dec-12,11212105,2000
200,686675,27-Dec-12,271212105,4100
201,686680,27-Dec-12,271212105,2000
202,686652,01-Dec-12,11212105,2000
203,IKO1234849583,19-Dec-12,1912127298,5975
204,582956,18-Dec-12,181212243,10000
205,IKO22796733,28-Dec-12,281212105,1457121
206,N10000,31-Jul-12,NEFT1,-6080478
207,N1 2034365667,31-Jul-12,NEFT2,15050
208,N2011300022,30-Apr-11,NEFT1,-9405223
209,N2011300107,30-Jun-11,NEFT,-481302
210,N2011300028,30-Apr-11,NEFT2,-10806258
211,N2011300047,31-May-11,NEFT,-270000
212,N2011300048,31-May-11,NEFT,-36750
213,N2011300052,31-May-11,NEFT,-4303272
214,N2011300072,31-May-11,NEFT,-843387
215,N2011300086,31-May-11,NEFT,-863387
216,N2011300096,31-May-11,NEFT,863387
217,N2011300100,30-Jun-11,NEFT,-4680242
218,N2011300108,30-Jun-11,NEFT,-5156667
219,N2011300115,30-Jun-11,NEFT,-50000
220,N2011300119,30-Jun-11,NEFT,-730442
221,N2011300127,30-Jun-11,NEFT,-18663
222,N2011300136,30-Jun-11,NEFT,-865167
223,N2011300148,30-Jun-11,NEFT,-1903828
224,N2012300334,31-Aug-12,NEFT,-4042193
225,N2012300410,30-Sep-12,NEFT,-969494
226,N2012300423,30-Sep-12,NEFT,-2591094
227,N2012300495,31-Oct-12,NEFT,-2844169
228,N2012300496,31-Oct-12,NEFT,-334585
229,N2012300497,31-Oct-12,NEFT,-1008629
230,N2012300546,31-Oct-12,NEFT,-311527
231,N2012300560,30-Nov-12,NEFT,-100000
232,N2012300567,30-Nov-12,NEFT,-2515834
233,N2012300606,30-Nov-12,NEFT,-133919
234,N2012300632,30-Nov-12,NEFT,-9
235,N2012300648,31-Dec-12,NEFT,-1646762
236,N2012300661,31-Dec-12,NEFT,-19947
237,N2012300696,31-Dec-12,NEFT,-273885
238,N2012300736,31-Jan-13,NEFT,-3891750
239,N2012300741,31-Jan-13,NEFT,-136914
240,N2012300790,31-Jan-13,NEFT,-370766
241,IKO17178979,19-May-12,19051264,298533
242,392811,11-May-12,11051264,1100
243,NEFT1,26-May-13,NEFT,-475816
244,NEFT2,26-May-13,NEFT,-7357401
245,N11313087725,31-Jan-12,NEFT1,-21413
246,N11334201136,31-Jan-12,NEFT1,-21072
247,N2011300174,31-Jul-11,NEFT,-69500
248,N2011300176,31-Jul-11,NEFT,-22886
249,N2011300178,31-Jul-11,NEFT,-4855433
250,N2011300179,31-Jul-11,NEFT,-92787
251,N2011300181,31-Jul-11,NEFT,-40011
252,N2011300182,31-Jul-11,NEFT,-6064040
253,N2011300192,31-Jul-11,NEFT,-205167
254,N2011300256,31-Jul-11,NEFT,-1390000
255,N2011300262,31-Jul-11,NEFT,-38000
256,N2011300281,31-Aug-11,NEFT,-114901
257,N2011300286,31-Aug-11,NEFT,-9598232
258,N2011300273,31-Aug-11,NEFT,-40000
259,N2011300321,30-Sep-11,NEFT,-579481
260,N2011300361,30-Sep-11,NEFT,-8962628
261,N2011300401,31-Oct-11,NEFT,-8505440
262,N2011300402,31-Oct-11,NEFT,-134300
263,N2011300439,31-Oct-11,NEFT,-106504
264,N2011300484,30-Nov-11,NEFT,-30200
265,N2011300523,30-Nov-11,NEFT,-5772116
266,N2011300524,30-Nov-11,NEFT,-17350
267,N2011300534,30-Nov-11,NEFT,-2354195
268,N2011300566,31-Dec-11,NEFT,-3852211
269,N2011300568,31-Dec-11,NEFT,-99265
270,N2011300615,31-Dec-11,NEFT,-7060205
271,N2011300631,31-Dec-11,NEFT,-45783
272,N2011300576,31-Dec-11,NEFT1,-400
273,6077,10-Jul-13,100713,6077
274,150,17-Aug-13,170813,150
275,14900,17-Aug-13,170813,14900
276,DDP87311459,24-May-14,240514,3000
277,3,29-May-14,290514,3
278,A852314,11-Nov-13,111113,3205
279,995562,09-Sep-14,90914,3000
280,996389,19-Dec-14,191214,2000
281,143601,23-Dec-14,231214,143601
282,10113,29-Jan-15,290115,10113
283,165951,06-Nov-15,61115,237339
284,252641,06-Nov-15,61115,252641
285,196784,01-Aug-16,10816,96420
286,240357,18-Aug-16,180816,6541
287,202626,18-Aug-16,180816,1265
288,202627,18-Aug-16,180816,290
289,43808,24-Aug-16,240816,1405
290,202516,07-Sep-16,70916,2801
291,1327438,07-Sep-16,70916,1327438
292,202508,31-Aug-16,310816,2845
293,202621,07-Sep-16,70916,4905
294,202510,31-Aug-16,310816,3585
295,202615,31-Aug-16,310816,4505
296,IKOC3130935,08-Sep-16,80916,2000309
297,241385,22-Aug-16,220816,14381
298,43873,26-Sep-16,260916,1800
299,69760,23-Sep-16,230916,35000
300,3455,28-Sep-16,280916,3455
301,438571,28-Sep-16,280916,1240
302,233126,21-Sep-16,210916,15150
303,438565,21-Sep-16,210916,170
304,231152,21-Sep-16,210916,475
305,1775,22-Sep-16,220916,1775
306,438569,27-Sep-16,270916,1310
307,A044023,15-Sep-16,150916,4630
308,545,16-Sep-16,160916,545
309,437500,26-Oct-16,261016,6558
310,1515,23-Sep-16,230916,1515
311,218271,15-Sep-16,150916,5590
312,279724,30-Sep-16,300916,384399
313,6885,26-Oct-16,261016,6885
314,25464,26-Oct-16,261016,6335
315,24451,26-Oct-16,261016,6045
316,231601,26-Oct-16,261016,885
317,2816,30-Sep-16,300916,2816
318,243946,15-Sep-16,150916,610
319,231157,28-Sep-16,280916,1620
320,15390,15-Oct-16,151016,15390
321,572535,19-Sep-16,190916,1720
322,437305,06-Oct-16,61016,1815
323,A369808,26-Oct-16,261016,41966
324,44098,01-Oct-16,11016,740
325,88030,14-Oct-16,141016,935
326,438449,03-Oct-16,31016,4910
327,149952,06-Oct-16,61016,24746
328,149927,06-Oct-16,61016,25715
329,231163,05-Oct-16,51016,755
330,231160,01-Oct-16,11016,135
331,437323,26-Oct-16,261016,2280
332,146702,20-Oct-16,201016,2402
333,88518,26-Oct-16,261016,63960
334,88746,26-Oct-16,261016,2740
335,244542,26-Oct-16,261016,139924
336,A397356,26-Oct-16,261016,78116
337,B397356,26-Oct-16,261016,85313
338,88029,10-Oct-16,101016,965
339,24786,19-Oct-16,191016,5375
340,24677,19-Oct-16,191016,5755
341,231171,19-Oct-16,191016,555
342,A369667,21-Oct-16,211016,50
343,146793,21-Oct-16,211016,2252
344,836476,15-Oct-16,151016,77000
345,438142,15-Oct-16,151016,16353
346,438143,15-Oct-16,151016,28605
347,59375,15-Oct-16,151016,59375
348,A214786,05-Oct-16,51016,3805
349,146780,10-Oct-16,101016,2195
350,437306,07-Oct-16,71016,1180
351,437493,18-Oct-16,181016,2900
352,93582,18-Oct-16,181016,93582
353,C327646,26-Oct-16,261016,108963
354,438851,26-Oct-16,261016,35126
355,2511,06-Oct-16,61016,2511
356,244418,26-Oct-16,261016,16465
357,A369609,14-Oct-16,141016,5710
358,88733,14-Oct-16,141016,1465
359,103442,15-Oct-16,151016,103442
360,25252,07-Oct-16,71016,2515
361,88732,14-Oct-16,141016,1900
362,88734,14-Oct-16,141016,935
363,146783,14-Oct-16,141016,1970
364,146782,14-Oct-16,141016,2150
365,145832,14-Oct-16,141016,2183
366,146811,14-Oct-16,141016,43280
367,42859,15-Oct-16,151016,39215
368,A353065,19-Oct-16,191016,4365
369,146791,19-Oct-16,191016,950
370,146790,19-Oct-16,191016,2056
371,836482,19-Oct-16,191016,37700
372,A083063,19-Oct-16,191016,3575
373,836470,05-Oct-16,51016,2190
374,149951,05-Oct-16,51016,45355
375,437489,17-Oct-16,171016,2610
376,437313,17-Oct-16,171016,790
377,A338809,21-Oct-16,211016,27432
378,B338809,21-Oct-16,211016,156463
379,244413,19-Oct-16,191016,10795
380,220938,07-Oct-16,71016,1595
381,99405,15-Oct-16,151016,99405
382,437302,04-Oct-16,41016,1140
383,3639,04-Oct-16,41016,265
384,322458,18-Oct-16,181016,322458
385,88036,18-Oct-16,181016,2245
386,160005,03-Oct-16,31016,160005
387,285198,11-Nov-16,111116,618976
388,85335,10-Nov-16,101116,335
389,A226446,29-Oct-16,291016,9481
390,318077,07-Nov-16,71116,318077
391,A961629,27-Oct-16,271016,290065
392,B961629,27-Oct-16,271016,289705
393,217408,03-Nov-16,31116,43640
394,63271,05-Nov-16,51116,63271
395,95419,05-Nov-16,51116,95419
396,56601,05-Nov-16,51116,56601
397,44187,05-Nov-16,51116,31730
398,389347,04-Nov-16,41116,31255
399,438028,09-Nov-16,91116,7610
400,342511,03-Nov-16,31116,18535
401,IKOC51631386751,09-Nov-16,91116,1496
402,438031,13-Nov-16,131116,2035
403,248013,13-Nov-16,131116,5290
404,248014,13-Nov-16,131116,3165
405,248012,13-Nov-16,131116,7920
406,88745,25-Oct-16,251016,1580
407,146795,25-Oct-16,251016,1380
408,A328672,10-Nov-16,101116,22927
409,A328831,10-Nov-16,101116,18555
410,577728,18-Nov-16,181116,3000
411,577729,18-Nov-16,181116,292
412,577727,18-Nov-16,181116,40
413,44326,18-Nov-16,181116,270
414,A577730,18-Nov-16,181116,3000
415,577732,18-Nov-16,181116,135
416,577726,18-Nov-16,181116,93000
417,A338815,28-Oct-16,281016,1218575
418,B338815,28-Oct-16,281016,565303
419,C338815,28-Oct-16,281016,613253
420,218641,24-Oct-16,241016,59628
421,469183,09-Nov-16,91116,81007
422,244548,04-Nov-16,41116,200883
423,577906,05-Nov-16,51116,1320
424,A368778,18-Nov-16,181116,490
425,A369495,18-Nov-16,181116,13150
426,A291922,27-Oct-16,271016,1660
427,73547,09-Nov-16,91116,10510
428,24503,09-Nov-16,91116,7410
429,25369,09-Nov-16,91116,6340
430,438861,09-Nov-16,91116,27455
431,836277,24-Oct-16,241016,1810
432,A357791,24-Oct-16,241016,5500
433,836494,03-Nov-16,31116,31015
434,441531,04-Nov-16,41116,107955
435,60590,04-Nov-16,41116,60590
436,A327649,29-Oct-16,291016,125700
437,A281682,03-Nov-16,31116,50
438,438863,13-Nov-16,131116,99246
439,73504,04-Nov-16,41116,16010
440,25002,04-Nov-16,41116,13935
441,25289,04-Nov-16,41116,8260
442,231607,04-Nov-16,41116,1065
443,A572781,04-Nov-16,41116,20000
444,NT103109,29-Nov-16,291116,5250
445,NE103115,29-Nov-16,291116,244840
446,577743,25-Nov-16,251116,125
447,438048,25-Nov-16,251116,12500
448,438049,25-Nov-16,251116,2310
449,577742,25-Nov-16,251116,110500
450,438873,30-Nov-16,301116,65027
451,44358,30-Nov-16,301116,480
452,A583663,29-Nov-16,291116,3535
453,583895,01-Dec-16,11216,2890
454,577609,30-Nov-16,301116,6500
455,577749,30-Nov-16,301116,309
456,577622,30-Nov-16,301116,8500
457,577621,30-Nov-16,301116,263000
458,281473,28-Nov-16,281116,43830
459,145888,28-Nov-16,281116,15565
460,A413313,30-Nov-16,301116,6100
461,A413314,30-Nov-16,301116,6120
462,A369379,17-Nov-16,171116,43185
463,A573296,17-Nov-16,171116,129603
464,145887,25-Nov-16,251116,16955
465,438871,23-Nov-16,231116,46575
466,73526,28-Nov-16,281116,6730
467,438041,24-Nov-16,241116,3500
468,438045,24-Nov-16,241116,135
469,577603,24-Nov-16,241116,395
470,577741,24-Nov-16,241116,256
471,577740,24-Nov-16,241116,116000
472,A572991,12-Nov-16,121116,465
473,A365064,12-Nov-16,121116,5950
474,73515,15-Nov-16,151116,10040
475,85469,02-Dec-16,21216,632759
476,593301,02-Dec-16,21216,24500
477,593302,02-Dec-16,21216,26290
478,593303,02-Dec-16,21216,16590
479,NE104218,30-Nov-16,301116,220110
480,NT104581,30-Nov-16,301116,1500
481,587744,30-Nov-16,301116,640
482,A369380,18-Nov-16,181116,16660
483,438039,22-Nov-16,221116,4000
484,438040,22-Nov-16,221116,115
485,A369671,22-Nov-16,221116,380
486,275556,30-Nov-16,301116,5630
487,577958,02-Dec-16,21216,1855
488,44360,01-Dec-16,11216,445
489,10753,01-Dec-16,11216,10753
490,NT101098,28-Nov-16,281116,5350
491,NE101505,28-Nov-16,281116,378200
492,NE101286,28-Nov-16,281116,67670
493,NE101357,28-Nov-16,281116,84840
494,NE101061,28-Nov-16,281116,160250
495,A083195,30-Nov-16,301116,1209774
496,A291944,25-Nov-16,251116,1445
497,2200,17-Nov-16,171116,2200
498,NE109167,06-Dec-16,61216,232820
499,NT109153,06-Dec-16,61216,5350
500,A369389,30-Nov-16,301116,58285
501,44217,30-Nov-16,301116,405
502,B583663,30-Nov-16,301116,3650
503,584672,30-Nov-16,301116,3805
504,587901,02-Dec-16,21216,1445
505,593201,01-Dec-16,11216,1670
506,438036,19-Nov-16,191116,3000
507,577734,19-Nov-16,191116,490
508,577733,19-Nov-16,191116,75500
509,24602,22-Nov-16,221116,4776
510,438030,12-Nov-16,121116,5410
511,A414105,23-Nov-16,231116,3455
512,NT103200,29-Nov-16,291116,5350
513,83110,29-Nov-16,291116,2140
514,NE103678,29-Nov-16,291116,27170
515,NT103498,29-Nov-16,291116,5350
516,NE103502,29-Nov-16,291116,237830
517,NT103026,29-Nov-16,291116,10500
518,NE103033,29-Nov-16,291116,268040
519,337841,30-Nov-16,301116,7200
520,NT108765,05-Dec-16,51216,2100
521,NE108767,05-Dec-16,51216,17610
522,A338844,16-Nov-16,161116,415308
523,73529,16-Nov-16,161116,9610
524,A369685,24-Nov-16,241116,20275
525,73537,18-Nov-16,181116,10965
526,252036,12-Nov-16,121116,57645
527,A413588,12-Nov-16,121116,22620
528,NT105295,01-Dec-16,11216,2500
529,43645,01-Dec-16,11216,500
530,NE100627,25-Nov-16,251116,27010
531,NE100923,25-Nov-16,251116,78170
532,NE100830,25-Nov-16,251116,42980
533,83110,25-Nov-16,251116,2140
534,83110,25-Nov-16,251116,2140
535,NT100601,25-Nov-16,251116,5250
536,NE100605,25-Nov-16,251116,160250
537,NT100610,25-Nov-16,251116,5250
538,NE100612,25-Nov-16,251116,117980
539,NE100267,25-Nov-16,251116,42980
540,NE100320,25-Nov-16,251116,206140
541,NE100342,25-Nov-16,251116,40200
542,577739,23-Nov-16,231116,402
543,438042,23-Nov-16,231116,6500
544,577601,23-Nov-16,231116,20
545,A577733,23-Nov-16,231116,220000
546,NE101834,28-Nov-16,281116,34900
547,NT101809,28-Nov-16,281116,2500
548,NT101940,28-Nov-16,281116,2500
549,NE119956,17-Dec-16,171216,286500
550,583751,02-Dec-16,21216,2836
551,A369381,19-Nov-16,191116,15931
552,A369496,19-Nov-16,191116,12620
553,14566,17-Nov-16,171116,14566
554,438034,17-Nov-16,171116,13055
555,A369497,21-Nov-16,211116,9745
556,A369382,21-Nov-16,211116,17180
557,586883,24-Nov-16,241116,960
558,A357978,02-Dec-16,21216,186138
559,85462,28-Nov-16,281116,594972
560,A370207,30-Nov-16,301116,4931
561,577605,28-Nov-16,281116,22000
562,577606,28-Nov-16,281116,275
563,577745,28-Nov-16,281116,471
564,577744,28-Nov-16,281116,98000
565,25065,12-Nov-16,121116,5245
566,338569,12-Nov-16,121116,5395
567,4449,01-Dec-16,11216,1320
568,NT105142,01-Dec-16,11216,1500
569,NE105192,01-Dec-16,11216,380000
570,A280131,24-Nov-16,241116,35381
571,A338854,24-Nov-16,241116,1135654
572,B338854,24-Nov-16,241116,1115641
573,73518,24-Nov-16,241116,4915
574,A413411,30-Nov-16,301116,618775
575,B413411,30-Nov-16,301116,557804
576,A340897,12-Nov-16,121116,126193
577,2229431,05-Dec-16,51216,502426
578,43646,05-Dec-16,51216,435
579,593360,05-Dec-16,51216,210
580,83150,05-Dec-16,51216,1660
581,61110,28-Nov-16,281116,61110
582,50160,28-Nov-16,281116,50160
583,A61110,28-Nov-16,281116,61110
584,A50160,28-Nov-16,281116,50160
585,91500,28-Nov-16,281116,91500
586,B61110,28-Nov-16,281116,61110
587,223311,28-Nov-16,281116,223311
588,100000,28-Nov-16,281116,100000
589,B50160,28-Nov-16,281116,50160
590,C50160,28-Nov-16,281116,50160
591,5350,28-Nov-16,281116,5350
592,900000,28-Nov-16,281116,900000
593,C61110,28-Nov-16,281116,61110
594,338473,24-Nov-16,241116,6990
595,337622,24-Nov-16,241116,7985
596,NT99818,24-Nov-16,241116,500
597,NT99917,24-Nov-16,241116,3000
598,NE99924,24-Nov-16,241116,84840
599,NT99883,24-Nov-16,241116,500
600,NT100235,24-Nov-16,241116,2100
601,NE100241,24-Nov-16,241116,27010
602,NT99830,24-Nov-16,241116,1500
603,223073,23-Nov-16,231116,45145
604,A369384,23-Nov-16,231116,37716
605,A369500,23-Nov-16,231116,18395
606,A369499,23-Nov-16,231116,12415
607,11016,29-Nov-16,291116,11016
608,145889,29-Nov-16,291116,19420
609,A369378,16-Nov-16,161116,42965
610,289876,29-Nov-16,291116,69120
611,A328964,29-Nov-16,291116,449968
612,577607,29-Nov-16,291116,3500
613,A280872,17-Nov-16,171116,188810
614,NT103923,30-Nov-16,301116,1500
615,NE104209,30-Nov-16,301116,207640
616,593306,05-Dec-16,51216,29790
617,593307,05-Dec-16,51216,21690
618,593308,05-Dec-16,51216,26195
619,593309,05-Dec-16,51216,21205
620,577736,21-Nov-16,211116,134
621,577735,21-Nov-16,211116,79000
622,A369383,22-Nov-16,221116,18005
623,A369498,22-Nov-16,221116,13590
624,577748,29-Nov-16,291116,420
625,577747,29-Nov-16,291116,91500
626,D61110,29-Nov-16,291116,61110
627,E61110,29-Nov-16,291116,61110
628,D50160,29-Nov-16,291116,50160
629,E50160,29-Nov-16,291116,50160
630,A50000,29-Nov-16,291116,50000
631,85246,29-Nov-16,291116,1000
632,85247,29-Nov-16,291116,1000
633,2000,29-Nov-16,291116,2000
634,A2000,29-Nov-16,291116,2000
635,577696,22-Nov-16,221116,6300
636,A338855,22-Nov-16,221116,95000
637,B338855,22-Nov-16,221116,95000
638,C338855,22-Nov-16,221116,95000
639,D338855,22-Nov-16,221116,95000
640,E338855,22-Nov-16,221116,95000
641,F338855,22-Nov-16,221116,95000
642,G338855,22-Nov-16,221116,81569
643,73530,22-Nov-16,221116,6426
644,A083049,25-Nov-16,251116,7446
645,337806,19-Nov-16,191116,16770
646,25486,19-Nov-16,191116,14585
647,438866,17-Nov-16,171116,31850
648,577694,22-Nov-16,221116,26055
649,A413312,29-Nov-16,291116,5155
