"",,,,,,,SMH,,,,,,
PRIMARY UNITS,,,,,,,,,,,,,
BUD PROP,5348917,8914859,3652045,10145316,4195248,8777131,12521293,11117184,5305350,3683457,5326711,2354751,81342262
ACT-BP,-472062,-1091972,-11188,-434038,-320185,-222233,-1634452,-445161,-698207,-357658,-20755,-196223,-5904134
BG,7244000,15079000,5366000,14971000,7502000,12801000,26262000,25640000,7146000,5726400,-258400,4000000,131479000
BG(SL),7039400,14207600,5298545,14490784,7200400,12098783,25549000,24714000,6601800,5455800,-258400,4000000,126397712
ACT,4618937,9997641,3897630,11334314,5300219,9349077,18756359,28680117,5514013,4967333,8833981,2575329,113824950
08 - WR COPPY,5056070,10650470,3621107,10238097,5303043,9075909,16482709,19675517,5611957,3368120,5721331,2507447,97311777
ACT-COPPY,-437133,-652829,276522,1096218,-2824,273168,2273650,9004600,-97944,1599213,3112650,67882,16513173
BUD PROP,4641099,9572249,3367493,9472468,4850467,8086109,19049136,16095439,4840677,3746636,6386357,2628556,92736686
ACT-BP,-22162,425392,530137,1861846,449752,1262968,-292777,12584678,673336,1220697,2447624,-53227,21088264
"",,,,,,,SMH,,,,,,
PRIMARY UNITS,,,,,,,,,,,,,
"",01,02,03,04,05,06,07,08,09,10,10N,11,TOTAL
BG,7149000,14289000,5159000,11409000,6187000,12859000,36033000,33903000,7039000,4645321,-493321,3660000,141839000
BG(SL),6937400,13318200,5073735,10920822,5796100,12344130,35450800,32723400,6408800,4306521,-493321,3660000,136446587
ACT,4700884,9905730,4010153,8227240,4857708,10040278,25723158,32128724,4977706,2877528,6201688,2682208,116333004
09 - SCR COPPY,4956282,9652780,4170810,8737295,4547881,9335379,25551660,24279088,5105609,3465493,4807127,2577788,107187192
ACT-COPPY,-255399,252950,-160657,-510055,309827,704898,171498,7849636,-127902,-587965,1394561,104420,9145812
BUD PROP,5268723,10632268,4198069,8142908,4377413,9353429,29104137,26601236,5223944,3251522,5118312,2743911,114015872
ACT-BP,-567839,-726538,-187916,84332,480295,686849,-3380979,5527488,-246238,-373994,1083376,-61703,2317132
BG,375000,294000,..,728000,562000,921000,708000,695000,155000,787000,-20000,180000,5385000
BG(SL),364387,261068,..,713017,527292,871424,688792,671000,147782,763300,-20000,180000,5168062
ACT,270503,200076,..,541762,381723,683359,485579,333536,124764,497827,284937,128516,3932582
22 - MTPK COPPY,252214,206347,..,507542,423186,574738,483354,321382,111499,542868,306469,126468,3856067
ACT-COPPY,18289,-6271,..,34220,-41462,108621,2225,12154,13265,-45041,-21532,2048,76515
BUD PROP,265932,187103,..,474758,381919,607964,457220,433089,98036,499268,284900,130909,3821098
ACT-BP,4571,12973,..,67004,-196,75395,28359,-99553,26728,-1441,37,-2393,111484
BG,6018000,12016000,3606000,11217000,7954000,14001000,35325000,16176000,4692000,5548495,-471495,4230000,120312000
BG(SL),5958765,11328510,3598910,11063373,7713576,13318540,34418396,15625000,4427413,5176313,-471495,4230000,116387301
ACT,3882758,8622818,2345138,9284127,6015709,10053907,26798569,16846281,3756877,3447329,5194419,2944581,99192514
30 - ECR COPPY,4113119,9000995,2306690,8447818,5784423,9590304,24549531,12059132,3634526,5605995,4339236,3067520,92499289
