Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
14961,1080,26-DEC-18,261218,1080
14962,337804,26-DEC-18,261218,1965
14963,436579,26-DEC-18,261218,3435
14964,435004,31-DEC-18,311218,735
14965,435002,31-DEC-18,311218,820
14966,476334,31-DEC-18,311218,232237
14967,435005,31-DEC-18,311218,460
14968,476369,31-DEC-18,311218,3085
14969,298601,31-DEC-18,311218,735
14970,532618,31-DEC-18,311218,542801
14971,529470,31-DEC-18,311218,3435
14972,379425,31-DEC-18,311218,28460
14973,D14389,31-DEC-18,311218,5240000
14974,14365,31-DEC-18,311218,446150
14975,55833,17-DEC-18,171218,54455
14976,681398,17-DEC-18,171218,1135
14977,1985,17-DEC-18,171218,1985
14978,A457168,17-DEC-18,171218,3520
14979,380231,17-DEC-18,171218,14854
14980,386362,17-DEC-18,171218,2561
14981,386214,17-DEC-18,171218,44430
14982,498,17-DEC-18,171218,45335
14983,70955,17-DEC-18,171218,70955
14984,82420,17-DEC-18,171218,1975
14985,380237,28-DEC-18,281218,76521
14986,3655,28-DEC-18,281218,3655
14987,61140,28-DEC-18,281218,61140
14988,67145,28-DEC-18,281218,67145
14989,38110,28-DEC-18,281218,38110
14990,73085,28-DEC-18,281218,73085
14991,4400,28-DEC-18,281218,4400
14992,6345,28-DEC-18,281218,6345
14993,2355,28-DEC-18,281218,2355
14994,3715,28-DEC-18,281218,3715
14995,764879,26-DEC-18,261218,1420
14996,570,26-DEC-18,261218,570
14997,64071,26-DEC-18,261218,1060
14998,IKOC7857039,26-DEC-18,261218,1123501
14999,IKOC7859080,26-DEC-18,261218,2080614
15000,IKOC7860341,26-DEC-18,261218,1783255
15001,76759,31-DEC-18,311218,39105
15002,476380,31-DEC-18,311218,50000
15003,476379,31-DEC-18,311218,65025
15004,100229,31-DEC-18,311218,64585
15005,464951,31-DEC-18,311218,2175
15006,335897,31-DEC-18,311218,55845
15007,406716,31-DEC-18,311218,10840
15008,A975276,31-DEC-18,311218,520
15009,40179,31-DEC-18,311218,36710
15010,681341,31-DEC-18,311218,24775
15011,468871,31-DEC-18,311218,2468
15012,468872,31-DEC-18,311218,4945
15013,24742,31-DEC-18,311218,24742
15014,379027,17-DEC-18,171218,81665
15015,468800,17-DEC-18,171218,53812
15016,474463,17-DEC-18,171218,255
15017,384118,17-DEC-18,171218,13890
15018,45,28-DEC-18,281218,45
15019,50,28-DEC-18,281218,50
15020,25,28-DEC-18,281218,25
15021,10,28-DEC-18,281218,10
15022,180675,28-DEC-18,281218,180675
15023,231075,28-DEC-18,281218,231075
15024,254760,28-DEC-18,281218,254760
15025,687625,28-DEC-18,281218,3375
15026,379036,28-DEC-18,281218,85285
15027,379037,28-DEC-18,281218,69585
15028,379038,28-DEC-18,281218,179460
15029,379040,28-DEC-18,281218,142150
15030,988731,28-DEC-18,281218,580
15031,786938,28-DEC-18,281218,890
15032,786939,28-DEC-18,281218,755
15033,65265,02-JAN-19,020119,65265
15034,22675,02-JAN-19,020119,22675
15035,436689,02-JAN-19,020119,3555
15036,436690,02-JAN-19,020119,5090
15037,379047,02-JAN-19,020119,133495
15038,379043,02-JAN-19,020119,136180
15039,76945,02-JAN-19,020119,1200
15040,437884,02-JAN-19,020119,50000
15041,437886,02-JAN-19,020119,165175
15042,437885,02-JAN-19,020119,172770
15043,679376,08-JAN-19,080119,685
15044,455611,08-JAN-19,080119,270
15045,1481,08-JAN-19,080119,1481
15046,1050,08-JAN-19,080119,1050
15047,1955,08-JAN-19,080119,1955
15048,436595,08-JAN-19,080119,5175
15049,436593,08-JAN-19,080119,766
15050,436594,08-JAN-19,080119,1841
15051,436592,08-JAN-19,080119,538
15052,99021,08-JAN-19,080119,9085
15053,764895,08-JAN-19,080119,1115
15054,67071,08-JAN-19,080119,38500
15055,94078,08-JAN-19,080119,840
15056,94075,08-JAN-19,080119,1185
15057,IKOC78793623,08-JAN-19,080119,1921955
15058,177356,14-JAN-19,140119,381710
15059,335710,14-JAN-19,140119,4970
15060,238088,14-JAN-19,140119,2255
15061,237398,14-JAN-19,140119,273363
15062,316841,14-JAN-19,140119,3590
15063,317711,14-JAN-19,140119,36575
15064,379451,14-JAN-19,140119,14375
15065,14368,14-JAN-19,140119,474110
15066,476396,14-JAN-19,140119,47415
15067,5201008,14-JAN-19,140119,83221
15068,779585,14-JAN-19,140119,5895
15069,464962,14-JAN-19,140119,1345
15070,384407,14-JAN-19,140119,62385
15071,468837,03-JAN-19,030119,55028
15072,384135,03-JAN-19,030119,1200
15073,467054,03-JAN-19,030119,11810
15074,75717,03-JAN-19,030119,1875
15075,75715,03-JAN-19,030119,5325
15076,0467274,03-JAN-19,030119,835
15077,0467273,03-JAN-19,030119,1780
15078,384459,03-JAN-19,030119,7077
15079,246321,03-JAN-19,030119,775
15080,455607,03-JAN-19,030119,2255
15081,1275,03-JAN-19,030119,1275
15082,965,03-JAN-19,030119,965
15083,A428693,02-JAN-19,020119,50
15084,300,02-JAN-19,020119,300
15085,601309,02-JAN-19,020119,625
15086,7036535,02-JAN-19,020119,1420
15087,468836,02-JAN-19,020119,116948
15088,A415489,02-JAN-19,020119,99986
15089,476341,07-JAN-19,070119,294416
15090,476375,07-JAN-19,070119,2745
15091,649524,07-JAN-19,070119,551402
15092,316836,07-JAN-19,070119,1500
15093,317705,07-JAN-19,070119,50485
15094,14377,07-JAN-19,070119,437265
15095,476389,07-JAN-19,070119,49275
15096,40109,14-JAN-19,140119,34980
15097,447601,14-JAN-19,140119,10521
15098,447777,14-JAN-19,140119,30150
15099,436550,14-JAN-19,140119,35080
15100,436698,14-JAN-19,140119,4465
15101,A970292,14-JAN-19,140119,114395
15102,379311,14-JAN-19,140119,12500
15103,379310,14-JAN-19,140119,167460
15104,437897,14-JAN-19,140119,90216
15105,436591,03-JAN-19,030119,3165
15106,764891,03-JAN-19,030119,16080
15107,27085,03-JAN-19,030119,42275
15108,27080,03-JAN-19,030119,1015
15109,237838,11-JAN-19,110119,1060
15110,237166,11-JAN-19,110119,240010
15111,334959,11-JAN-19,110119,4205
15112,459609,11-JAN-19,110119,526018
15113,316840,11-JAN-19,110119,1655
15114,317710,11-JAN-19,110119,42915
15115,14371,11-JAN-19,110119,458285
15116,720978,02-JAN-19,020119,530
15117,927409,02-JAN-19,020119,115
15118,379585,02-JAN-19,020119,7335
15119,380001,02-JAN-19,020119,7860
15120,467053,02-JAN-19,020119,17125
15121,A75715,02-JAN-19,020119,21015
15122,75716,02-JAN-19,020119,16900
15123,185,02-JAN-19,020119,185
15124,0467270,02-JAN-19,020119,380
15125,0467262,02-JAN-19,020119,1601
15126,0467272,02-JAN-19,020119,235
15127,0467271,02-JAN-19,020119,320
15128,384457,02-JAN-19,020119,4905
15129,A970365,02-JAN-19,020119,1560
15130,455605,02-JAN-19,020119,780
15131,455606,02-JAN-19,020119,2395
15132,16091,07-JAN-19,070119,16091
15133,61898,07-JAN-19,070119,61898
15134,140683,07-JAN-19,070119,140683
15135,464957,07-JAN-19,070119,1695
15136,334743,07-JAN-19,070119,61335
15137,40132,07-JAN-19,070119,40750
15138,A716845,07-JAN-19,070119,1001001
15139,A716848,07-JAN-19,070119,900000
15140,A426779,07-JAN-19,070119,1030
15141,681348,07-JAN-19,070119,27605
15142,681477,07-JAN-19,070119,1280
15143,468807,07-JAN-19,070119,150
15144,A558608,07-JAN-19,070119,76063
15145,380245,07-JAN-19,070119,16627
15146,A672768,07-JAN-19,070119,54405
15147,436544,07-JAN-19,070119,51900
15148,468846,14-JAN-19,140119,73830
15149,A630439,14-JAN-19,140119,500
15150,A380244,14-JAN-19,140119,6050
15151,26033,14-JAN-19,140119,2480
15152,25967,14-JAN-19,140119,940
15153,26619,14-JAN-19,140119,4805
15154,75727,14-JAN-19,140119,20195
15155,0385392,14-JAN-19,140119,905
15156,0385391,14-JAN-19,140119,1295
15157,602075,11-JAN-19,110119,5425
15158,476395,11-JAN-19,110119,50000
15159,476394,11-JAN-19,110119,39825
15160,5201007,11-JAN-19,110119,73867
15161,147256,11-JAN-19,110119,147256
15162,21563,11-JAN-19,110119,21563
15163,464961,11-JAN-19,110119,2710
15164,384406,11-JAN-19,110119,67394
15165,A806561,11-JAN-19,110119,265
15166,40131,11-JAN-19,110119,33556
15167,468814,11-JAN-19,110119,5330
15168,468813,11-JAN-19,110119,2055
15169,447776,11-JAN-19,110119,35198
15170,380249,11-JAN-19,110119,20478
15171,944069,02-JAN-19,020119,635
15172,944068,02-JAN-19,020119,910
15173,B672562,02-JAN-19,020119,4950
15174,2120,02-JAN-19,020119,2120
15175,2090,02-JAN-19,020119,2090
15176,436589,02-JAN-19,020119,8325
15177,436590,02-JAN-19,020119,3515
15178,90015,02-JAN-19,020119,11060
15179,764890,02-JAN-19,020119,1645
15180,764889,02-JAN-19,020119,735
15181,4074,02-JAN-19,020119,740
15182,790,02-JAN-19,020119,790
15183,94051,02-JAN-19,020119,1220
15184,4069,02-JAN-19,020119,35590
15185,379393,07-JAN-19,070119,11300
15186,379302,07-JAN-19,070119,67650
15187,437891,07-JAN-19,070119,2505000
15188,437892,07-JAN-19,070119,152916
15189,1420,07-JAN-19,070119,1420
15190,783263,07-JAN-19,070119,840
