Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt
15493,915,10-JAN-19,100119,915
15494,338646,10-JAN-19,100119,4352
15495,436542,04-JAN-19,040119,53100
15496,379050,04-JAN-19,040119,55865
15497,78451,04-JAN-19,040119,255
15498,384460,05-JAN-19,050119,4625
15499,384461,05-JAN-19,050119,4810
15500,455609,05-JAN-19,050119,280
15501,3920,05-JAN-19,050119,3920
15502,A011784,05-JAN-19,050119,25
15503,B011784,05-JAN-19,050119,13230
15504,C011784,05-JAN-19,050119,25
15505,D011784,05-JAN-19,050119,274428
15506,E011784,05-JAN-19,050119,132
15507,764893,05-JAN-19,050119,1470
15508,27055,05-JAN-19,050119,630
