Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt,Match,Match_Num,Chalan_Dates
4785,92057,04-05-2021,40521,4410,109936; 362852,2,2021-05-01; 2021-05-01
4722,42513,29-07-2021,290721,63360,,0,
4723,B308635,29-07-2021,290721,465835,308634,1,27-07-2021
4724,219597,29-07-2021,290721,219597,853977,1,27-07-2021
4725,22561,05-04-2021,50421,1220,,0,
4726,39328,05-04-2021,50421,435,,0,
4727,39426,05-04-2021,50421,62525,,0,
4728,39402,05-04-2021,50421,41225,,0,
4729,21305,05-04-2021,50421,21305,,0,
4730,17630,05-04-2021,50421,17630,,0,
4731,13540,05-04-2021,50421,13540,,0,
4732,10902,05-04-2021,50421,78485,,0,
4733,10901,05-04-2021,50421,39440,,0,
4734,483937,05-04-2021,50421,15560,,0,
4735,482126,05-04-2021,50421,13265,,0,
4736,483940,05-04-2021,50421,630,,0,
4737,58112,05-04-2021,50421,350,,0,
4738,83684,29-04-2021,290421,1400,894424,1,26-04-2021
4739,83686,29-04-2021,290421,105,314647; 420284; 562745; 639709; 894426,5,2021-04-12; 2021-04-14; 2021-04-22; 2021-04-17; 2021-04-26
4740,83685,29-04-2021,290421,1310,894425,1,26-04-2021
4741,7212,29-04-2021,290421,28135,361366,1,26-04-2021
4742,7210,29-04-2021,290421,23620,361364,1,26-04-2021
4743,7211,29-04-2021,290421,37880,361365,1,26-04-2021
4744,5842,29-04-2021,290421,61072,,0,
4745,6217519,29-04-2021,290421,650,507589,1,26-04-2021
4746,6217573,29-04-2021,290421,140,303250,1,05-04-2021
4747,10755,17-04-2021,170421,10755,,0,
4748,A949923,17-04-2021,170421,1540,,0,
4749,118199,17-04-2021,170421,110,637223,1,09-04-2021
4750,7230,17-04-2021,170421,49290,361354,1,15-04-2021
4751,7241,17-04-2021,170421,19760,361355,1,15-04-2021
4752,1495,17-04-2021,170421,1495,208972,1,15-04-2021
4753,108808,17-04-2021,170421,496,,0,
4788,A20919,04-05-2021,40521,4410,109936; 362852,2,2021-05-01; 2021-05-01
5810,81695,16-07-2021,160721,4360,361726; 853087,2,2021-06-04; 2021-07-14
4756,3850,17-04-2021,170421,3850,639706,1,15-04-2021
4757,865,17-04-2021,170421,865,639707,1,15-04-2021
4758,195,17-04-2021,170421,195,636641; 636648; 639705,3,2021-04-12; 2021-04-16; 2021-04-15
4759,952805,15-04-2021,150421,1765,,0,
4760,5503,15-04-2021,150421,33300,362045,1,09-04-2021
4761,5552,15-04-2021,150421,395,,0,
4762,702097,15-04-2021,150421,17905,289357,1,09-04-2021
4763,95825,15-04-2021,150421,2370,362918,1,09-04-2021
4764,12600,15-04-2021,150421,12600,642699,1,09-04-2021
4765,49580,15-04-2021,150421,49580,109914,1,09-04-2021
4766,64834,15-04-2021,150421,29795,,0,
4767,22678,15-04-2021,150421,117558,213314,1,09-04-2021
4768,14307,15-04-2021,150421,12510,,0,
4769,16637,15-04-2021,150421,870,358728,1,09-04-2021
4770,476135,15-04-2021,150421,30410,401515,1,09-04-2021
4771,88392,15-04-2021,150421,178042,,0,
4772,22719,15-04-2021,150421,3940,,0,
4773,22720,15-04-2021,150421,18743,974396,1,09-04-2021
4774,43118,15-04-2021,150421,21945,,0,
4775,39333,15-04-2021,150421,140,303250,1,05-04-2021
4776,22566,15-04-2021,150421,1260,358322,1,06-04-2021
4777,4999939,04-05-2021,40521,1095,314077,1,16-04-2021
4778,4860327,04-05-2021,40521,515,314087,1,01-05-2021
16566,45935,04-03-2022,40322,4235,7269; 371345,2,2022-02-07; 2022-03-02
9006,4170,09-11-2021,91121,4170,366245; 367522,2,2021-10-16; 2021-11-03
4781,38633,04-05-2021,40521,9915,79584,1,01-05-2021
4782,36680,04-05-2021,40521,170,289367; 313767; 636261,3,2021-04-22; 2021-04-05; 2021-04-26
4783,5525,04-05-2021,40521,14170,,0,
4784,92056,04-05-2021,40521,23400,362851,1,01-05-2021
16488,431857,23-03-2022,230322,4140,4970; 4994,2,2022-02-21; 2022-03-21
4786,92032,04-05-2021,40521,7415,117563,1,01-05-2021
13929,4050,25-02-2022,250222,4050,289619; 373106,2,2022-01-31; 2022-02-22
16561,A952765,09-03-2022,90322,4050,289619; 373106,2,2022-01-31; 2022-02-22
4789,B20919,04-05-2021,40521,30,109974; 2132132005; 314641; 505087; 505522,5,2021-05-01; 2021-04-29; 2021-04-05; 2021-04-22; 2021-04-06
4790,64843,04-05-2021,40521,18045,,0,
4791,22685,04-05-2021,40521,34304,213321,1,01-05-2021
4792,476155,04-05-2021,40521,31910,,0,
4793,476156,04-05-2021,40521,29095,,0,
4794,84612,04-05-2021,40521,15375,,0,
4795,84613,04-05-2021,40521,14010,,0,
4796,10924,11-05-2021,110521,2475,,0,
4797,7224,11-05-2021,110521,8770,361377,1,07-05-2021
4798,42552,11-05-2021,110521,10602,362548,1,07-05-2021
4799,104016,11-05-2021,110521,16425,,0,
4800,A569686,11-05-2021,110521,25,,0,
4801,A569685,11-05-2021,110521,25,,0,
4802,476175,28-05-2021,280521,23155,,0,
4803,36689,28-05-2021,280521,9005,,0,
4804,967432,28-05-2021,280521,1105,,0,
4805,951355,28-05-2021,280521,3570,,0,
4806,14752,28-05-2021,280521,62340,360999,1,25-05-2021
4807,7194,28-05-2021,280521,8960,361395,1,25-05-2021
4808,42564,28-05-2021,280521,143410,,0,
4809,6175,28-05-2021,280521,6175,361717,1,25-05-2021
4810,14753,28-05-2021,280521,41680,361000,1,26-05-2021
4811,42677,10-06-2021,100621,3607,,0,
4812,5778,10-06-2021,100621,600,,0,
4813,7030,10-06-2021,100621,7030,361729,1,08-06-2021
4814,IKD1357543,10-06-2021,100621,1014538,IKD1357545,1,09-06-2021
4815,10966,16-06-2021,160621,5250,,0,
4816,10967,16-06-2021,160621,163635,,0,
4817,587758,16-06-2021,160621,27305,,0,
4818,587191,16-06-2021,160621,26605,,0,
4819,586752,16-06-2021,160621,36435,,0,
4820,586544,16-06-2021,160621,29670,,0,
4821,14774,16-06-2021,160621,56855,364519,1,14-06-2021
4822,14773,16-06-2021,160621,112850,364518,1,14-06-2021
4823,14772,16-06-2021,160621,142670,364517,1,14-06-2021
4824,96262,16-06-2021,160621,32445,364863,1,14-06-2021
4825,7303415,30-06-2021,300621,1475,852973,1,20-06-2021
4826,7303416,30-06-2021,300621,17185,852974,1,28-06-2021
4827,38663,30-06-2021,300621,83660,79639,1,28-06-2021
4828,38696,30-06-2021,300621,335,,0,
4829,38697,30-06-2021,300621,815,,0,
4830,38664,30-06-2021,300621,124532,79640,1,28-06-2021
4831,38666,30-06-2021,300621,119010,79642,1,28-06-2021
4832,38665,30-06-2021,300621,111615,79641,1,28-06-2021
4833,54913,30-06-2021,300621,378980,,0,
12110,1771,13-12-2021,131221,4045,1771; 366254,2,2021-12-09; 2021-10-25
4835,5567,30-06-2021,300621,165,976323,1,28-05-2021
4836,5568,30-06-2021,300621,285,636581,1,19-06-2021
4837,1033,30-06-2021,300621,52920,,0,
4838,1034,30-06-2021,300621,50985,,0,
4839,1032,30-06-2021,300621,99610,,0,
4840,50178,30-06-2021,300621,11730,854771,1,28-06-2021
4841,55086,30-06-2021,300621,85165,,0,
4842,179412,30-06-2021,300621,179412,362746,1,28-06-2021
4843,104215,30-06-2021,300621,104215,362747,1,28-06-2021
4844,26833,30-06-2021,300621,31870,,0,
4845,26832,30-06-2021,300621,32900,,0,
4846,13695,30-06-2021,300621,13695,,0,
4847,13240,30-06-2021,300621,13240,,0,
4848,18750,30-06-2021,300621,18750,,0,
4849,A483023,21-06-2021,210621,101905,,0,
4850,A401575,21-06-2021,210621,9,,0,
4851,49917,21-06-2021,210621,9097,,0,
10041,4040,30-12-2021,301221,4040,1778; 57919,2,2021-12-18; 2021-12-28
4853,5638,21-06-2021,210621,27915,854521,1,18-06-2021
4854,71790,21-06-2021,210621,33605,363748,1,18-06-2021
4855,108009,21-06-2021,210621,580,,0,
13578,814697,14-02-2022,140222,4035,1781; 4961,2,2021-12-20; 2022-02-10
4857,76254,21-06-2021,210621,18205,924150,1,18-06-2021
4858,76307,21-06-2021,210621,12210,482907,1,18-06-2021
4859,213,21-06-2021,210621,1145,,0,
4860,10973,21-06-2021,210621,49640,,0,
4861,10972,21-06-2021,210621,7000,,0,
4862,7303418,02-07-2021,20721,21210,852976,1,30-06-2021
4863,33787,02-07-2021,20721,117740,177738,1,30-06-2021
4864,38699,02-07-2021,20721,795,,0,
4865,38668,02-07-2021,20721,97995,79644,1,30-06-2021
4866,50118,02-07-2021,20721,780,636592,1,30-06-2021
4867,88043,02-07-2021,20721,1565,636292,1,30-06-2021
4868,1036,02-07-2021,20721,71785,64727,1,30-06-2021
4869,614483,02-07-2021,20721,77660,289425,1,30-06-2021
4870,6089,02-07-2021,20721,10480,117585,1,30-06-2021
4871,21080,02-07-2021,20721,21080,,0,
4872,49786,02-06-2021,20621,9680,,0,
4873,49787,02-06-2021,20621,21365,,0,
4874,13285,02-06-2021,20621,13285,361722,1,31-05-2021
4875,A2132032053,07-07-2021,70721,17700,,0,
12084,3930,11-01-2022,110122,3930,57928; 366063,2,2022-01-01; 2021-12-09
4877,7303424,09-07-2021,90721,36325,,0,
4878,38675,09-07-2021,90721,111520,79651,1,07-07-2021
3903,45410,22-06-2021,220621,3840,59133; 853071,2,2021-06-13; 2021-06-21
5619,81676,28-06-2021,280621,3840,59133; 853071,2,2021-06-13; 2021-06-21
4881,88049,09-07-2021,90721,1560,636299,1,07-07-2021
4882,3961629,09-07-2021,90721,10795,,0,
8718,6656,13-10-2021,131021,3655,358788; 882175,2,2021-08-24; 2021-10-06
4884,1043,09-07-2021,90721,74250,,0,
4885,14239,09-07-2021,90721,6006,853200,1,07-07-2021
15945,1623,05-03-2022,50322,3655,1623; 215597,2,2022-03-03; 2022-02-03
4887,77398,09-07-2021,90721,46988,,0,
4888,77397,09-07-2021,90721,565380,,0,
4889,182390,09-07-2021,90721,182390,853956,1,07-07-2021
4890,82228,31-07-2021,310721,82228,,0,
4891,686225,13-07-2021,130721,4720,,0,
4892,384542,13-07-2021,130721,1560,636299,1,07-07-2021
4893,7303425,13-07-2021,130721,24690,,0,
4894,A60251,13-07-2021,130721,260,636208,1,12-07-2021
4895,60226,13-07-2021,130721,121475,79652,1,08-07-2021
4896,50123,13-07-2021,130721,1665,636597,1,08-07-2021
4897,88050,13-07-2021,130721,890,314093,1,11-06-2021
4898,3961630,13-07-2021,130721,16700,,0,
4899,1044,13-07-2021,130721,97765,,0,
4900,50183,13-07-2021,130721,36415,854776,1,08-07-2021
4901,16069,13-07-2021,130721,13230,213339,1,28-06-2021
4902,62096,13-07-2021,130721,8330,117592,1,08-07-2021
4903,77400,13-07-2021,130721,63174,,0,
4904,77399,13-07-2021,130721,506915,,0,
4905,16710,13-07-2021,130721,16710,,0,
4906,13520,13-07-2021,130721,13520,482905,1,15-06-2021
4907,108991,29-07-2021,290721,28000,,0,
4908,32385,29-07-2021,290721,1115,358762,1,27-07-2021
7432,133860,07-09-2021,70921,3640,358400; 358787,2,2021-09-04; 2021-08-21
4910,88481,29-07-2021,290721,51230,359412,1,27-07-2021
4911,84877,29-07-2021,290721,34180,857910,1,27-07-2021
4912,35913,29-07-2021,290721,60,636272; 685791; 853654; 853662; 853670,5,2021-06-10; 2021-07-27; 2021-07-12; 2021-07-19; 2021-07-27
13921,45929,25-02-2022,250222,3640,15491; 371339,2,2022-02-14; 2022-02-23
4914,35911,29-07-2021,290721,30,59550; 120376; 313793; 685789; 685792; 853660; 858257,7,2021-06-09; 2021-07-16; 2021-06-28; 2021-07-27; 2021-07-26; 2021-07-17; 2021-07-15
4915,97028,29-07-2021,290721,983713,,0,
4916,71774,29-07-2021,290721,21640,,0,
4917,6732,29-07-2021,290721,25415,,0,
15448,11856,15-03-2022,150322,3635,57540; 215609,2,2022-03-14; 2022-02-17
4919,45429,29-07-2021,290721,6385,,0,
4920,45428,29-07-2021,290721,4445,,0,
4921,45427,29-07-2021,290721,4870,213874,1,24-07-2021
4922,45426,29-07-2021,290721,5505,,0,
4923,59836,05-04-2021,50421,62345,,0,
4924,5828,05-04-2021,50421,465719,,0,
4925,12637,05-04-2021,50421,36241,,0,
4926,88284,05-04-2021,50421,6275,,0,
4927,33081,05-04-2021,50421,1025,,0,
4928,88337,05-04-2021,50421,210,,0,
4929,61835,05-04-2021,50421,82765,,0,
4930,133226,29-04-2021,290421,475,,0,
4931,3480510,12-04-2021,120421,9855,,0,
4932,4860312,12-04-2021,120421,1280,314072,1,08-04-2021
4933,38609,12-04-2021,120421,55195,79560,1,08-04-2021
4934,88002,12-04-2021,120421,455,505074,1,08-04-2021
4935,A952801,12-04-2021,120421,370,,0,
4936,5502,12-04-2021,120421,53580,362044,1,08-04-2021
4937,5551,12-04-2021,120421,150,,0,
4938,39257,12-04-2021,120421,455,505074,1,08-04-2021
4939,757151,12-04-2021,120421,89785,420698,1,08-04-2021
4940,702403,12-04-2021,120421,22730,289356,1,08-04-2021
4941,95824,12-04-2021,120421,10455,362917,1,08-04-2021
4942,26905,12-04-2021,120421,1560,362818,1,08-04-2021
4943,90540,12-04-2021,120421,8890,117545,1,08-04-2021
4944,90592,12-04-2021,120421,43730,302428,1,08-04-2021
4945,90591,12-04-2021,120421,321615,302427,1,07-04-2021
4946,37885,12-04-2021,120421,37885,109913,1,08-04-2021
4947,64833,12-04-2021,120421,19725,,0,
4948,27393,17-04-2021,170421,2495,,0,
4949,27392,17-04-2021,170421,2035,,0,
4950,79442,17-04-2021,170421,8595,,0,
4951,79441,17-04-2021,170421,4700,,0,
4952,4999927,19-04-2021,190421,7810,,0,
4953,4860317,19-04-2021,190421,1095,314077,1,16-04-2021
4954,952848,19-04-2021,190421,100,118195,1,05-04-2021
4955,88007,19-04-2021,190421,165,,0,
4956,350,19-04-2021,190421,350,636252,1,16-04-2021
4957,6420101,19-04-2021,190421,19700,642101,1,16-04-2021
4958,39431,15-04-2021,150421,17775,924123,1,09-04-2021
4959,39407,15-04-2021,150421,11480,924030,1,09-04-2021
4960,39258,15-04-2021,150421,760,505075,1,08-04-2021
4961,49761,15-04-2021,150421,19315,,0,
14500,78975,11-02-2022,110222,3605,7948; 57940,2,2022-02-09; 2022-01-17
4963,10907,15-04-2021,150421,7520,,0,
4964,483805,15-04-2021,150421,3025,,0,
4965,7231,15-04-2021,150421,56775,361349,1,09-04-2021
4966,5833,15-04-2021,150421,584537,,0,
4967,6217504,15-04-2021,150421,385,314649,1,12-04-2021
4968,6206824,15-04-2021,150421,75,,0,
4969,3965,15-04-2021,150421,3965,,0,
4970,587040,04-05-2021,40521,3305,,0,
4971,5847,04-05-2021,40521,10218,362542,1,01-05-2021
4972,12642,04-05-2021,40521,237929,,0,
4973,49080,04-05-2021,40521,2200,362781,1,01-05-2021
4974,163723644,04-05-2021,40521,1000,,0,
14979,832630,31-03-2022,310322,3600,1400; 373572,2,2022-03-24; 2022-03-30
4976,38634,05-05-2021,50521,12145,79585,1,03-05-2021
4977,62241,05-05-2021,50521,36220,,0,
4978,38650,20-05-2021,200521,22560,79601,1,16-05-2021
4979,49085,20-05-2021,200521,5655,362792,1,16-05-2021
4980,A49085,20-05-2021,200521,2670,362793,1,18-05-2021
4981,5542,20-05-2021,200521,7965,,0,
4982,45944,20-05-2021,200521,27234,302495,1,18-05-2021
4983,45941,20-05-2021,200521,62290,302492,1,18-05-2021
4984,45943,20-05-2021,200521,71325,302494,1,18-05-2021
4985,45942,20-05-2021,200521,51075,302493,1,18-05-2021
4986,12623,20-05-2021,200521,12623,362705,1,18-05-2021
4987,2045,20-05-2021,200521,2045,109994,1,18-05-2021
4988,23683,20-05-2021,200521,15070,,0,
4989,22688,20-05-2021,200521,30398,213324,1,18-05-2021
4990,36682,20-05-2021,200521,8840,79591,1,10-05-2021
4991,15888,20-05-2021,200521,11030,363721,1,18-05-2021
4992,2132042024,28-05-2021,280521,50433,,0,
4993,5000014,24-05-2021,240521,5290,,0,
4994,50127,24-05-2021,240521,18675,79603,1,20-05-2021
4995,5544,24-05-2021,240521,21970,,0,
4996,45948,24-05-2021,240521,21734,302498,1,20-05-2021
4997,23599,24-05-2021,240521,23599,362707,1,20-05-2021
4998,23685,24-05-2021,240521,14355,,0,
4999,5000021,01-06-2021,10621,9045,852951,1,29-05-2021
5000,50136,01-06-2021,10621,57920,79612,1,29-05-2021
5001,42728,01-06-2021,10621,31770,,0,
5002,483829,01-06-2021,10621,65,420289,1,29-05-2021
5003,484083,01-06-2021,10621,30,109974; 2132132005; 314641; 419928; 420285; 420292; 485905; 485906; 505087; 505522; 976321,11,2021-05-01; 2021-04-29; 2021-04-05; 2021-05-28; 2021-05-20; 2021-05-29; 2021-05-06; 2021-05-06; 2021-04-22; 2021-04-06; 2021-05-28
5004,16014,01-06-2021,10621,5213,362892,1,29-05-2021
5005,16095,01-06-2021,10621,25009,,0,
5006,58508,01-06-2021,10621,58508,362717,1,29-05-2021
5007,476203,01-06-2021,10621,40220,,0,
9616,3480570,07-10-2021,71021,3550,366309; 853049,2,2021-08-21; 2021-10-04
5009,35904,01-06-2021,10621,170,289367; 313767; 636261,3,2021-04-22; 2021-04-05; 2021-04-26
15500,97467,29-03-2022,290322,3545,22707; 374431,2,2022-03-25; 2022-03-28
5011,11335,01-06-2021,10621,360,314082; 314083; 636647; 685635,4,2021-04-22; 2021-04-27; 2021-04-16; 2021-05-29
4609,3515,11-05-2021,110521,3515,289378; 485927,2,2021-05-03; 2021-05-07
5013,96264,16-06-2021,160621,45355,364865,1,14-06-2021
5014,96263,16-06-2021,160621,70555,364864,1,14-06-2021
5015,42754,16-06-2021,160621,824448,,0,
5016,5782,16-06-2021,160621,425,,0,
5017,5783,16-06-2021,160621,660,83904,1,20-04-2021
5018,5781,16-06-2021,160621,375,83905; 314086; 636553,3,2021-04-20; 2021-04-30; 2021-04-20
5019,1235,16-06-2021,160621,9235,,0,
5020,1249,16-06-2021,160621,37440,,0,
5021,1234,16-06-2021,160621,2260,361379,1,10-05-2021
5022,1233,16-06-2021,160621,2685,,0,
5023,1248,16-06-2021,160621,31430,,0,
5024,1247,16-06-2021,160621,37930,,0,
5025,937700,16-06-2021,160621,465,636556,1,23-04-2021
15986,217851,07-03-2022,70322,3490,15565; 57948,2,2022-02-28; 2022-01-28
5027,17680,16-06-2021,160621,17680,361734,1,14-06-2021
9276,135477,10-11-2021,101121,3480,57868; 856427,2,2021-11-08; 2021-10-08
5029,5000022,02-06-2021,20621,5705,852952,1,31-05-2021
5030,23656,30-06-2021,300621,13550,,0,
5031,23657,30-06-2021,300621,1859,,0,
5032,33553,30-06-2021,300621,13230,213339,1,28-06-2021
5033,854651,30-06-2021,300621,58260,,0,
5034,5645,30-06-2021,300621,36535,854528,1,28-06-2021
5035,5646,30-06-2021,300621,26450,854529,1,28-06-2021
5036,5647,30-06-2021,300621,27200,,0,
5037,5648,30-06-2021,300621,37245,854530,1,28-06-2021
5038,1212,21-06-2021,210621,2510,485919,1,07-05-2021
5039,A639*543,21-06-2021,210621,36265,,0,
5040,96268,21-06-2021,210621,59055,364869,1,18-06-2021
5041,A42753,21-06-2021,210621,386333,,0,
5042,42680,21-06-2021,210621,4563,,0,
5043,A365006,21-06-2021,210621,1975,,0,
5044,5787,21-06-2021,210621,465,636556,1,23-04-2021
5045,1239,21-06-2021,210621,4475,,0,
5046,1244,21-06-2021,210621,32260,,0,
5047,1245,21-06-2021,210621,61080,,0,
5048,18002,21-06-2021,210621,17060,361739,1,17-06-2021
5049,IKD1388447,21-06-2021,210621,107090,IKD13688447,1,19-06-2021
5050,23680,02-07-2021,20721,20345,,0,
5051,35957,02-07-2021,20721,46305,359357,1,30-06-2021
5052,5649,02-07-2021,20721,31250,,0,
5053,5650,02-07-2021,20721,49315,854533,1,30-06-2021
5054,108018,02-07-2021,20721,2755,,0,
5055,76316,02-07-2021,20721,14310,482916,1,30-06-2021
5056,76263,02-07-2021,20721,20350,,0,
5057,77080,02-07-2021,20721,1035,,0,
5058,104135,02-07-2021,20721,36550,,0,
5059,8360,02-07-2021,20721,8360,59149,1,30-06-2021
5060,22975,02-07-2021,20721,22975,,0,
5061,30540,02-07-2021,20721,30540,,0,
5062,70909,02-07-2021,20721,75720,,0,
5063,5044347,09-07-2021,90721,45535,,0,
5064,5044348,09-07-2021,90721,501165,,0,
5065,5582,09-07-2021,90721,35310,854540,1,07-07-2021
5066,83113,09-07-2021,90721,871714,,0,
5067,108024,09-07-2021,90721,1430,636583,1,21-06-2021
5068,76268,09-07-2021,90721,20650,,0,
5069,76321,09-07-2021,90721,12685,482921,1,07-07-2021
5070,77086,09-07-2021,90721,1465,853075,1,30-06-2021
5071,104142,09-07-2021,90721,35635,,0,
5072,5920,09-07-2021,90721,5920,,0,
5073,37195,09-07-2021,90721,37195,,0,
5074,6800,09-07-2021,90721,6800,,0,
5075,16647,13-07-2021,130721,835,358743,1,08-07-2021
5076,41593,13-07-2021,130721,38725,401593,1,08-07-2021
5077,5583,13-07-2021,130721,25620,854541,1,08-07-2021
5078,83114,13-07-2021,130721,1379457,,0,
5079,76322,13-07-2021,130721,13425,482922,1,08-07-2021
5080,76269,13-07-2021,130721,19765,,0,
5081,21644,13-07-2021,130721,79370,,0,
5082,60459,13-07-2021,130721,6185,289394,1,20-05-2021
5083,70914,13-07-2021,130721,47430,,0,
5084,70916,13-07-2021,130721,7625,362944,1,21-05-2021
5085,70915,13-07-2021,130721,78475,,0,
5086,70883,29-07-2021,290721,47350,,0,
5087,A858006,29-07-2021,290721,1830,,0,
10019,3480,10-11-2021,101121,3480,57868; 856427,2,2021-11-08; 2021-10-08
5089,15779,29-07-2021,290721,106731,363264,1,27-07-2021
5090,66260,29-07-2021,290721,112670,365658,1,27-07-2021
5091,A512445,29-07-2021,290721,100000,,0,
5092,B512445,29-07-2021,290721,1500000,,0,
5093,C512445,29-07-2021,290721,100868,,0,
5094,D512445,29-07-2021,290721,100868,,0,
5095,E512445,29-07-2021,290721,1500000,,0,
5096,133226,29-07-2021,290721,1277710,,0,
13545,202376,02-02-2022,20222,3390,57925; 215593,2,2021-12-31; 2022-01-31
5098,828563,29-07-2021,290721,630,362894; 636206; 636276; 636578; 853196,5,2021-06-01; 2021-07-16; 2021-06-14; 2021-06-16; 2021-07-05
5099,63901,29-07-2021,290721,96555,,0,
5100,IKD1163877,03-04-2021,30421,394891,IKD163877,1,02-04-2021
5101,44581,05-04-2021,50421,44581,571860,1,01-04-2021
5102,937684,05-04-2021,50421,885,,0,
5103,1000,05-04-2021,50421,1000,,0,
5104,4999932,27-04-2021,270421,11505,,0,
6543,60307,30-08-2021,300821,3375,856459; 856543,2,2021-07-17; 2021-08-26
5106,41158,12-04-2021,120421,616,,0,
5107,16636,12-04-2021,120421,25775,,0,
5108,22717,12-04-2021,120421,14025,,0,
5109,22718,12-04-2021,120421,100000,974395,1,08-04-2021
5110,43117,12-04-2021,120421,19990,639200,1,08-04-2021
5111,39332,12-04-2021,120421,225,,0,
5112,22565,12-04-2021,120421,1335,,0,
5113,39406,12-04-2021,120421,11205,924029,1,06-04-2021
5114,39430,12-04-2021,120421,16940,924122,1,09-04-2021
5115,5136258,12-04-2021,120421,230,,0,
5116,19443,12-04-2021,120421,540,308969,1,08-04-2021
5117,51392,12-04-2021,120421,20755,,0,
5118,33305,12-04-2021,120421,280,313772,1,08-04-2021
5119,49760,12-04-2021,120421,10325,,0,
5120,10906,12-04-2021,120421,4850,,0,
5121,484053,12-04-2021,120421,12565,,0,
5122,370,12-04-2021,120421,370,,0,
5123,46681,19-04-2021,190421,12005,362924,1,16-04-2021
5124,90543,19-04-2021,190421,12130,117551,1,16-04-2021
5125,48306,19-04-2021,190421,149571,302444,1,16-04-2021
5126,48305,19-04-2021,190421,123195,302443,1,16-04-2021
5127,16160,19-04-2021,190421,29870,109921,1,16-04-2021
5128,A150,19-04-2021,190421,150,,0,
5129,B150,19-04-2021,190421,150,,0,
5130,300,19-04-2021,190421,300,,0,
5131,2190,19-04-2021,190421,2190,,0,
5132,2825,19-04-2021,190421,2825,,0,
5133,3225,19-04-2021,190421,3225,,0,
5134,3575,19-04-2021,190421,3575,,0,
5135,2630,19-04-2021,190421,2630,,0,
5136,16641,19-04-2021,190421,160,358735,1,16-04-2021
5137,476142,19-04-2021,190421,20615,401522,1,16-04-2021
5138,108803,15-04-2021,150421,75,,0,
5139,A637221,15-04-2021,150421,110,637223,1,09-04-2021
5140,993738,15-04-2021,150421,25,,0,
5141,104249,15-04-2021,150421,660,,0,
5142,A590668,15-04-2021,150421,50,636639,1,08-04-2021
5143,795,15-04-2021,150421,795,639701,1,09-04-2021
11096,6672,27-10-2021,271021,3370,365902; 882191,2,2021-10-04; 2021-10-25
5145,140,15-04-2021,150421,140,303250,1,05-04-2021
5146,120,15-04-2021,150421,120,314645,1,09-04-2021
5147,79449,15-04-2021,150421,12245,,0,
5148,5526,05-05-2021,50521,11350,,0,
5149,5527,05-05-2021,50521,18685,,0,
5150,92058,05-05-2021,50521,22087,362853,1,03-05-2021
5151,64844,05-05-2021,50521,3060,,0,
5152,10920,05-05-2021,50521,22980,,0,
5153,10921,05-05-2021,50521,22350,,0,
5154,A361092,05-05-2021,50521,26070,361091,1,03-05-2021
5155,5848,05-05-2021,50521,26697,,0,
5156,104012,05-05-2021,50521,1830,,0,
5157,104011,05-05-2021,50521,33650,,0,
5158,13025,20-05-2021,200521,13025,571834,1,16-05-2021
5159,7187,20-05-2021,200521,4690,361388,1,18-05-2021
5160,42559,20-05-2021,200521,47628,,0,
5161,104072,12-05-2021,120521,5310,,0,
5162,38642,12-05-2021,120521,13545,79593,1,10-05-2021
5163,38641,12-05-2021,120521,9765,79592,1,10-05-2021
5164,38640,12-05-2021,120521,8840,79591,1,10-05-2021
5165,5533,12-05-2021,120521,5030,,0,
5166,5534,12-05-2021,120521,6875,,0,
5167,5532,12-05-2021,120521,25405,,0,
5168,476169,24-05-2021,240521,30105,401548,1,20-05-2021
5169,36684,24-05-2021,240521,4395,,0,
5170,15889,24-05-2021,240521,6700,363722,1,20-05-2021
14549,3340,28-02-2022,280222,3340,4975; 15624,2,2022-02-24; 2022-01-18
5172,7189,24-05-2021,240521,5365,361390,1,20-05-2021
5173,42561,24-05-2021,240521,68398,,0,
5174,14756,01-06-2021,10621,78235,364503,1,29-05-2021
5175,7198,01-06-2021,10621,20475,361399,1,29-05-2021
5176,42567,01-06-2021,10621,231066,,0,
5177,4231,01-06-2021,10621,520,120372,1,29-05-2021
5178,46117,01-06-2021,10621,255,,0,
5179,46119,01-06-2021,10621,180,83907; 120366; 122249; 314643; 639713; 976455,6,2021-04-23; 2021-05-27; 2021-05-28; 2021-04-07; 2021-04-23; 2021-04-15
5180,4230,01-06-2021,10621,150,83909; 83910; 120370; 120371; 289368; 419935,6,2021-04-23; 2021-04-23; 2021-05-28; 2021-05-29; 2021-04-22; 2021-05-28
12240,A814864,09-02-2022,90222,3335,4958; 483220,2,2022-02-07; 2022-01-27
15551,17517,15-03-2022,150322,3335,4958; 483220,2,2022-02-07; 2022-01-27
5183,49785,01-06-2021,10621,14055,,0,
5184,55831,01-06-2021,10621,345,314642,1,05-04-2021
5185,14405,01-06-2021,10621,5795,361721,1,28-05-2021
5186,50138,02-06-2021,20621,19330,79614,1,31-05-2021
5187,50137,02-06-2021,20621,58350,,0,
5188,42729,02-06-2021,20621,59710,,0,
5189,42730,02-06-2021,20621,49610,,0,
5190,A501840,02-06-2021,20621,77615,420784,1,31-05-2021
5191,50158,02-06-2021,20621,9550,854751,1,31-05-2021
5192,16097,02-06-2021,20621,19940,420757,1,06-05-2021
5193,16099,02-06-2021,20621,12769,,0,
5194,16096,02-06-2021,20621,134900,,0,
5195,16098,02-06-2021,20621,102965,,0,
