Sr.No.,Challan No.,Scroll Date,Scroll No.,Scroll Amt,Match,Match_Num,Chalan_Dates
146,5755,28-12-2016,281216,5755,,0,
147,5005,28-12-2016,281216,5005,,0,
148,23236,17-04-2017,170417,23236,,0,
149,26849,15-04-2017,150417,2430,,0,
150,26848,13-04-2017,130417,1015,,0,
151,8630,07-04-2017,70417,8630,,0,
152,6785,07-04-2017,70417,6785,,0,
153,76322,11-04-2017,110417,1654,,0,
154,76323,11-04-2017,110417,815,,0,
155,5495,11-04-2017,110417,5495,,0,
156,5613,15-04-2017,150417,4515,,0,
157,5634,15-04-2017,150417,2800,,0,
158,76308,05-04-2017,50417,2455,,0,
159,76309,05-04-2017,50417,855,,0,
160,26833,05-04-2017,50417,1385,,0,
161,68558,12-05-2017,120517,7530,,0,
162,4485,18-04-2017,180417,4485,,0,
163,4665,05-04-2017,50417,4665,,0,
164,5515,06-04-2017,60417,5515,,0,
165,10260,06-04-2017,60417,10260,,0,
166,24142,11-04-2017,110417,24142,,0,
167,2055,10-04-2017,100417,2055,,0,
168,76320,10-04-2017,100417,610,,0,
169,76321,10-04-2017,100417,760,,0,
170,80737,20-04-2017,200417,1840,,0,
171,1754,19-04-2017,190417,925,,0,
172,1775,11-05-2017,110517,1105,,0,
173,1774,11-05-2017,110517,1350,,0,
174,36130,24-05-2017,240517,81449,,0,
175,5585,08-05-2017,80517,5585,,0,
176,755,12-05-2017,120517,755,,0,
177,9725,12-05-2017,120517,9725,,0,
178,33627,09-05-2017,90517,1095,,0,
179,41659,02-06-2017,20617,7460,,0,
180,280,04-01-2018,40118,810,,0,
181,655,23-05-2017,230517,655,,0,
182,8695,11-05-2017,110517,8695,,0,
183,1235,11-05-2017,110517,1235,,0,
184,31994,27-04-2017,270417,31994,,0,
185,1773,09-05-2017,90517,1020,,0,
186,5645,29-04-2017,290417,2455,,0,
187,9970,21-04-2017,210417,9970,,0,
188,7885,21-04-2017,210417,7885,,0,
189,5638,20-04-2017,200417,1290,,0,
190,5618,20-04-2017,200417,5125,,0,
191,4385,25-05-2017,250517,4385,,0,
192,32219,04-01-2018,40118,1950,,0,
193,6856,23-05-2017,230517,2910,,0,
194,5540,15-05-2017,150517,5540,,0,
195,1772,08-05-2017,80517,1400,,0,
196,33626,08-05-2017,80517,635,,0,
197,1771,06-05-2017,60517,1375,,0,
198,9040,31-05-2017,310517,9040,,0,
199,98216,01-06-2017,60117,25000,,0,
200,5647,02-05-2017,20517,3525,,0,
201,8685,03-05-2017,30517,8685,,0,
202,62782,31-05-2017,310517,2050,,0,
203,62783,31-05-2017,310517,1180,,0,
204,50873,31-05-2017,310517,50873,,0,
205,72960,31-05-2017,310517,5190,,0,
206,2175,02-05-2017,20517,2175,,0,
207,1765,02-05-2017,20517,940,,0,
208,1767,03-05-2017,30517,1210,,0,
209,1768,03-05-2017,30517,1560,,0,
210,44726,02-06-2017,20617,4000,,0,
211,14345,04-05-2017,40517,14345,,0,
212,33552,04-05-2017,40517,4745,,0,
213,2070,07-06-2017,70617,2070,,0,
214,40,01-06-2017,60117,21790,,0,
215,41656,01-06-2017,60117,2336,,0,
216,66253,22-05-2017,220517,2235,,0,
217,36704,31-05-2017,310517,820,,0,
218,36678,31-05-2017,310517,47260,,0,
219,61044,05-06-2017,50617,10180,,0,
220,3305,31-05-2017,310517,3305,,0,
221,5648,03-05-2017,30517,2845,,0,
222,41654,31-05-2017,310517,10031,,0,
223,41655,31-05-2017,310517,17000,,0,
224,41660,03-06-2017,30617,2266,,0,
225,41661,03-06-2017,30617,6020,,0,
226,41666,07-06-2017,70617,1440,,0,
227,41667,07-06-2017,70617,16355,,0,
228,1769,04-05-2017,40517,1215,,0,
229,5646,02-05-2017,20517,1100,,0,
230,5980,02-05-2017,20517,5105,,0,
231,1766,02-05-2017,20517,1510,,0,
232,62978,02-05-2017,20517,2305,,0,
233,41672,12-06-2017,120617,5615,,0,
234,41673,12-06-2017,120617,8445,,0,
